;DMSO (2 h);Zileuton 10 µM;Livi130 0.1 µM;Livi130 10 µM;Livi131 0.1 µM;Livi131 10 µM;Livi132 0.1 µM;Livi132 10 µM;Livi133 0.1 µM;Livi133 10 µM;;DMSO (15 min);Zileuton 10 µM;Livi130 0.1 µM;Livi130 10 µM;Livi131 0.1 µM;Livi131 10 µM;Livi132 0.1 µM;Livi132 10 µM;Livi133 0.1 µM;Livi133 10 µM;;;;;;
17-HDHA;100;68;105;86;89;101;111;118;91;113;;100;58;108;99;80;75;67;93;99;79;;;;;;
14-HDHA;100;65;103;85;87;99;106;112;97;114;;100;66;108;107;88;81;63;89;105;85;;;;;;
7-HDHA;100;12;95;75;89;75;104;84;94;91;;100;11;113;88;88;47;74;71;95;80;;;;;;
4-HDHA;100;85;77;74;63;62;103;96;84;87;;100;96;97;93;71;60;89;89;93;100;;;;;;
18-HEPE;100;66;100;83;86;81;99;97;100;118;;100;73;112;110;140;77;66;100;110;92;;;;;;
15-HEPE;100;73;94;74;83;82;107;98;98;113;;100;74;100;98;133;79;69;104;108;86;;;;;;
12-HEPE;100;64;109;86;90;43;105;115;97;125;;100;64;113;112;88;68;56;94;99;81;;;;;;
11-HEPE;100;79;95;72;71;67;98;90;89;101;;100;72;113;102;196;68;67;92;102;78;;;;;;
5-HEPE;100;15;102;78;90;88;103;93;103;105;;100;17;115;89;85;59;71;85;89;80;;;;;;
15-HETE;100;77;104;86;88;88;113;103;101;106;;100;66;109;114;91;74;63;101;109;86;;;;;;
12-HETE;100;75;106;96;98;95;105;109;105;120;;100;72;111;111;97;75;83;107;103;83;;;;;;
11-HETE;100;74;100;82;96;89;116;103;103;101;;100;68;106;107;86;78;66;86;97;86;;;;;;
8-HETE;100;62;109;82;92;89;108;103;101;116;;100;58;107;118;86;64;74;99;102;84;;;;;;
5-HETE;100;18;97;83;97;95;103;98;104;104;;100;20;114;86;88;59;76;82;92;85;;;;;;
AA;100;119;113;128;99;98;97;114;119;102;;100;156;138;137;109;102;200;196;138;90;;;;;;
EPA;100;111;99;100;101;98;98;100;106;89;;100;96;98;103;129;103;88;103;102;93;;;;;;
DHA;100;113;113;115;96;99;119;120;106;103;;100;125;124;93;107;97;161;114;100;101;;;;;;
DPA w3;100;104;108;114;95;98;115;103;98;114;;100;100;94;94;99;81;89;104;102;102;;;;;;
20-OH-LTB4;100;15;99;89;104;99;107;94;102;103;;100;17;110;93;82;64;82;81;93;92;;;;;;
t-LTB4;100;14;102;85;102;97;123;90;102;100;;100;14;106;76;80;53;81;73;90;80;;;;;;
LTB4;100;17;101;85;109;95;108;93;101;100;;100;17;105;79;77;51;84;74;86;78;;;;;;
5S,6R-diHETE;100;13;90;52;96;90;124;91;93;88;;100;13;97;55;80;56;79;65;85;78;;;;;;
5,15-DiHETE Eico PAF;100;30;104;69;96;84;116;87;103;99;;100;25;103;81;88;80;77;71;93;80;;;;;;
PGE2 EicoPAF;100;80;94;87;93;86;127;117;98;86;;100;69;109;109;93;82;75;103;105;90;;;;;;
PGD2;100;83;97;81;81;92;127;122;85;84;;100;79;109;114;97;85;71;115;111;91;;;;;;
PGF2a;100;79;92;93;69;73;128;107;89;90;;100;61;106;105;99;85;74;94;95;81;;;;;;
TXB2;100;75;89;74;90;77;122;100;100;81;;100;65;107;103;87;79;67;74;102;84;;;;;;
